Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
Ethylbromazolam,,"8-bromo-1-ethyl-6-phenyl-4H-[1,2,4]triazolo[4,3-a][1,4]benzodiazepine (Alternative chemical name: 8-bromo-1-ethyl-6-phenyl-4H-benzo[f][1,2,4]triazolo[4,3-a][1,4]diazepine)",C18H15BrN4,Benzodiazepines,06-2025,Structure Image cannot be exported
Ethylene Chlorohydrin,,,,Other substances,10-1998,Structure Image cannot be exported
Ethylene Dichloride,,,,Other substances,10-1998,Structure Image cannot be exported
Ethylene Etonitazene,,"2-(2-(4-ethoxyphenethyl)-5-nitro-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine",C23H30N4O3,Narcotic Analgesics,12-2024,Structure Image cannot be exported
Ethylene Glycol,,,,Other substances,02-2000,Structure Image cannot be exported
Ethylene Glycol Monobenzoate,,,,Other substances,10-1998,Structure Image cannot be exported
Ethyleneoxynitazene,"3'-desoxy-3',4'-Methylenedioxynitazene;Tetrahydrofuranitazene","2-(2-((2,3-dihydrobenzofuran-5-yl)methyl)-5-nitro-1H-benzo[d]imidazol-1-yl)-N,N-diethylethan-1-amine",C22H26N4O3,Narcotic Analgesics,09-2023,Structure Image cannot be exported
Ethylestrenol,,,,Steroids,10-1998,Structure Image cannot be exported
Ethylidine Chloride,,,,Other substances,10-1998,Structure Image cannot be exported
Ethylmethylthiambutene,,,,Narcotic Analgesics,10-1998,Structure Image cannot be exported
Ethylmorphine,,,,Narcotic Analgesics,10-1998,Structure Image cannot be exported
Ethylone,"3,4,-methylonedioxy-N-ethylcathinone ;MDEC;bk-MDEA","1-(2H-1,3-benzodioxol-5-yl)-2-(ethylamino)propan-1-one",C12H15NO3,Synthetic Cathinones,11-2011,Structure Image cannot be exported
Ethylphenacemide,,,,Other substances,10-1998,Structure Image cannot be exported
Ethylphenidate,,ethyl 2-phenyl-2-(piperidin-2-yl)acetate,C15H21NO2,Piperidines/PEA,07-2013,Structure Image cannot be exported
Eticyclidine,,N-ethyl(1-phenylcyclohexyl)amine,C14H21N,Other substances,10-1998,Structure Image cannot be exported
Eticyclidone,,,,Depressants and Tranquilizers,05-2017,Structure Image cannot be exported
Etiracetam,,,,Other substances,05-2011,Structure Image cannot be exported
Etizolam,,"7-(2-chlorophenyl)-4-ethyl-13-methyl-3-thia-1,8,11,12-tetraazatricyclo[8.3.0.0²,⁶]trideca-2(6),4,7,10,12-pentaene",C17H15ClN4S,Benzodiazepines,06-2012,Structure Image cannot be exported
Etodesnitazene,desnitroetonitazene;etazene;etazone,"2-(2-(4-ethoxybenzyl)- 1H-benzimidazol-1-yl)-N,N-diethylethan-1-amine",C22H29N3O,Narcotic Analgesics,06-2021,Structure Image cannot be exported
Etodolac,,,,Analgesics,11-1999,Structure Image cannot be exported
Etomidate,,,,Depressants and Tranquilizers,06-2016,Structure Image cannot be exported
Etonitazene,,"N,N-diethyl-2-(2-(4-ethoxybenzyl)-5-nitro-1H-benzimidazol-1-yl]ethan-1-amine",C22H28N4O3,Narcotic Analgesics,10-1998,Structure Image cannot be exported
Etorphine,,,,Narcotic Analgesics,10-1998,Structure Image cannot be exported
Etoxeridine,,,,Narcotics,10-1998,Structure Image cannot be exported
Etravirine,,,,Other substances,05-2012,Structure Image cannot be exported
Eucalyptol,,,,Other,06-2010,Structure Image cannot be exported
Eutylone,"3,4-methylenedioxy-alpha-ethylaminobutiophenone;N-ethylbutylone;beta-keto-ethylbenzodioxolylbutanamine;bk-EBDB","1-(2H-1,3-benzodioxol-5-yl)-2-(ethylamino)butan-1-one",C13H17NO3,Synthetic Cathinones,10-2017,Structure Image cannot be exported
Exemestane,,,,Other substances,05-2011,Structure Image cannot be exported
Extenze,,,,Other,06-2010,Structure Image cannot be exported
Ezetimibe,,,,Other,08-2004,Structure Image cannot be exported
FDU-PB-22,,naphthalen-1-yl 1-(4-fluorobenzyl)-1H-indole-3-carboxylate,C26H18FNO2,Synthetic Cannabinoids,05-2014,Structure Image cannot be exported
FEC,fluoro-N-ethylcathinone;fluoroethcathinone,,C11H14FNO,Synthetic Cathinones,11-2019,Structure Image cannot be exported
FENOFIBRIC ACID,,,,Other substances,04-2012,Structure Image cannot be exported
FMC,fluoro-N-methylcathinone;fluoromethcathinone,,C10H12FNO,Synthetic Cathinones,04-2011,Structure Image cannot be exported
FUB-144,,"(1-(4-fluorobenzyl)-1H-indol-3-yl)(2,2,3,3-tetramethylcyclopropyl)methanone",C23H24FNO,Synthetic Cannabinoids,11-2014,Structure Image cannot be exported
FUB-AKB48,AKB48 N-(4-fluorobenzyl);FUB-APINACA,N-(1-adaman-1-yl)-1-(4-fluorobenzyl)-1H-indazole-3-carboxamide,C25H26FN3O,Synthetic Cannabinoids,11-2014,Structure Image cannot be exported
