Substance Name,Synonyms,Chemical Name,Chemical Formula,NFLIS Detailed Drug Category,Date Added to NFLIS-Drug,Chemical Structures
"(2,6-Dimethylphenoxy)acetic acid",,,,Other substances,07-2019,Structure Image cannot be exported
(2-Bromoethyl)benzene,,,,Other substances,01-2021,Structure Image cannot be exported
"(6aR,9S)-Delta-10-Tetrahydrocannabinol",,,,Cannabinoids,12-2020,Structure Image cannot be exported
(9R)-delta 6a(10a)-Tetrahydrocannabinol,(9R)-delta 6a(10a)-THC,"(R)-3,10,10-trimethyl-7-pentyl-2,3,4,10-tetrahydro-1H-9-oxaphenanthren-5-ol",C21H30O2,Cannabinoids,10-2022,Structure Image cannot be exported
(9S)-Delta-6a(10a)-Tetrahydrocannabinol,,,,Cannabinoids,12-2020,Structure Image cannot be exported
"(S)-N-Methyl-1-(1-(1,4Cycloheadienyl))-2-Propanamine",,,,Other substances,02-2004,Structure Image cannot be exported
"1,1,1-Trichloroethane (Methyl Chloroform)",,,,Other substances,11-2002,Structure Image cannot be exported
"1,2,3,4-Tetrahydroharmine",,,,Hallucinogens,10-1998,Structure Image cannot be exported
"1,2,3,4-Tetrahydronaphthalene",,,,Other substances,10-1998,Structure Image cannot be exported
"1,2-Benzenedicarboxamide",,,,Other substances,10-1998,Structure Image cannot be exported
"1,2-Cyclopentanedione",,,,Other,05-2013,Structure Image cannot be exported
"1,2-Dibromo-4,5-methylenedioxybenzene",,"5,6-dibromo-2H-1,3-benzodioxole",C7H4Br2O2,Other substances,06-2019,Structure Image cannot be exported
"1,2-Difluoroethane",,,,Other substances,05-2017,Structure Image cannot be exported
"1,2-Dihydroxybenzene",,,,Other substances,11-2017,Structure Image cannot be exported
"1,2-Dimethyl-3-Phenylaziridine",,,,Other substances,09-2003,Structure Image cannot be exported
"1,2-Ethanediol",,,,Other substances,06-2018,Structure Image cannot be exported
"1,2-Octanediol",,,,Other substances,09-2021,Structure Image cannot be exported
"1,3,5-Triazine-2,4,6-Triol (Cyanuric Acid)",,,,Other substances,08-2008,Structure Image cannot be exported
"1,3,5-trimethoxybenzene",,,,Other substances,06-2014,Structure Image cannot be exported
"1,3-Dicyclohexylcarbodiimide",,,,Other substances,10-1998,Structure Image cannot be exported
"1,3-Dimethylbarbituric Acid",,,,Depressants and Tranquilizers,11-2011,Structure Image cannot be exported
"1,4,6-Androstatriene-3,17-Dione",,,,Steroids,07-2010,Structure Image cannot be exported
"1,4-Androstadien-11Beta-Ol-3,17-Dione",,,,Other substances,05-2011,Structure Image cannot be exported
"1,4-Benzodiazepine",,"1H-1,4-benzodiazepine",C9H8N2,Benzodiazepines,01-2021,Structure Image cannot be exported
"1,4-Benzoquinone",,,,Other substances,06-2010,Structure Image cannot be exported
"1,4-Butanediol",,,,Other substances,10-1998,Structure Image cannot be exported
"1,4-Dibenzylpiperazine ",DBZP,"1,4-dibenzylpiperazine",C18H22N2,Piperazines (Stimulant),07-2008,Structure Image cannot be exported
"1,4-Dimethoxy-2-Methylbenzene",,,,Other substances,10-1998,Structure Image cannot be exported
"1,4-dimethyoxybenzene",,,,Other substances,06-2014,Structure Image cannot be exported
"1-(1,3-Diphenylpropan-2-yl)-pyrrolidine",1-[2-phenyl-1-(phenylmethyl)ethyl]-pyrrolidine,"1-(1,3-diphenylpropan-2-yl)pyrrolidine",C19H23N,Other substances,12-2018,Structure Image cannot be exported
1-(1-Cyclohexenyl)-Piperidine,,,,Other substances,10-1998,Structure Image cannot be exported
1-(1-Methyl-2-Phenylethyl)-N-Phenyl-4-Piperidinamine,,,,Other substances,10-1998,Structure Image cannot be exported
1-(2-Fluorophenyl)piperazine,2-FPP;oFPP;ortho-fluorophenylpiperazine,1-(2-fluorophenyl)piperazine,C10H13FN2,Piperazines (Hallucinogen),03-2012,Structure Image cannot be exported
1-(2-Methoxyphenyl)piperazine,2-MeOPP;ortho-MeOPP,1-(2-methoxyphenyl)piperazine,C11H16N2O,Piperazines (Stimulant),07-2008,Structure Image cannot be exported
1-(2-Phenyladamantan-2-yl)piperidine,phenyladamantylpiperidine,1-(2-phenyl-2-adamantyl)piperidine,C21H29N ,New Drug,01-2024,Structure Image cannot be exported
"1-(2-Phenylethyl)-4-Phenyl-1,2,5,6-Tetrahydropyridine",,,,Narcotics,10-1998,Structure Image cannot be exported
1-(2-Phenylethyl)-4-Phenyl-4-Acetyloxypiperidine,,,,Narcotics,10-1998,Structure Image cannot be exported
"1-(3,4 Methylenedioxiphenyl)-2-Bromopropane",,,,Other,07-2003,Structure Image cannot be exported
"1-(3,4-Methylenedioxyphenyl)-1,2-propanedione",,"1-(2H-1,3-benzodioxol-5-yl)propane-1,2-dione",C10H8O4,Other substances,01-2022,Structure Image cannot be exported
1-(3-Methoxyphenyl)piperazine ,3-MeOPP;meta-MeOPP,1-(3-methoxyphenyl)piperazine,C11H16N2O,Piperazines (Stimulant),05-2018,Structure Image cannot be exported
1-(3-Trifluoromethylphenyl)piperazine ,TFMPP,1-[3-(trifluoromethyl)phenyl]piperazine,C11H13F3N2,Piperazines (Hallucinogen),04-2002,Structure Image cannot be exported
1-(4-Bromophenyl)pentan-1-one (4'-Bromovalerophenone),4'-Bromovalerophenone;p-Bromovalerophenone,1-(4-bromophenyl)pentan-1-one,C11H13BrO,Other substances,01-2026,Structure Image cannot be exported
1-(4-Chlorophenyl)piperazine,4-CPP;pCPP;para-chlorophenylpiperazine,1-(4-chlorophenyl)piperazine,C10H13ClN2,Piperazines (Hallucinogen),07-2003,Structure Image cannot be exported
1-(4-Fluorobenzyl)piperazine,4F-BZP;para-fluoro-BZP;para-fluoro-benzylpiperazine,1-(4-fluorobenzyl)piperazine,C11H15FN2,Piperazines (Stimulant),05-2017,Structure Image cannot be exported
1-(4-Fluorophenyl)piperazine,4-FPP;pFPP;para-fluorophenylpiperazine,1-(4-fluorophenyl)piperazine,C10H13FN2,Piperazines (Hallucinogen),07-2008,Structure Image cannot be exported
1-(4-Methoxyphenyl)piperazine,4-MeOPP;para-MeOPP,1-(4-methoxyphenyl)piperazine,C11H16N2O,Piperazines (Hallucinogen),04-2011,Structure Image cannot be exported
1-(Alpha-Methylphenethyl)-4-Piperidone,,,,Other substances,10-1998,Structure Image cannot be exported
1-4-Dioxa-8-Azaspiro{4.5}Decane,,,,Other substances,10-1998,Structure Image cannot be exported
1-Acetylpiperidine,,1-1-piperidyl-1-ethanone,C7H13NO,Other substances,10-1998,Structure Image cannot be exported
1-Amino-5-phosphonoindan-1-carboxylic acid (APICA),,,,Other,10-2012,Structure Image cannot be exported
1-Androstenediol (3-alpha),,,,Steroids,07-2006,Structure Image cannot be exported
1-Androstenediol (3-beta),,,,Steroids,07-2006,Structure Image cannot be exported
1-Androstenedione,,,,Steroids,07-2006,Structure Image cannot be exported
1-Benzoylpiperazine,[(Piperazin-1-yl)carbonyl]benzene,phenyl(piperazin-1-yl)methanone,C11H14N2O,Piperazines (Stimulant),12-2025,Structure Image cannot be exported
1-Benzyl-4-Piperidone,,,,Other substances,10-1998,Structure Image cannot be exported
1-Benzylpiperidine,,1-benzylpiperidine,C12H17N,Other substances,10-2022,Structure Image cannot be exported
1-Boc-4-(4-fluoroanilino)piperidine ,,tert-butyl 4-(4-fluorophenylamino)piperidine-1-carboxylate,C16H23FN2O2,Fentanyl and Fentanyl-related,05-2021,Structure Image cannot be exported
1-Boc-4-anilinopiperidine ,1-BOC-4-(phenylamino)piperidine;4-ANBocP;4-anilino-1-Boc-piperidine;N-Boc-4-AP,tert-butyl 4-(phenylamino)piperidine-1-carboxylate,C16H24N2O2,Other substances,05-2020,Structure Image cannot be exported
1-Boc-4-hydroxypiperidine,N-boc-4-hydroxypiperidine,tert-butyl 4-hydroxypiperidine-1-carboxylate,C10H19NO3,Fentanyl and Fentanyl-related,03-2025,Structure Image cannot be exported
1-Boc-4-piperidone,,tert-butyl 4-oxopiperidine-1-carboxylate,C10H17NO3,Fentanyl and Fentanyl-related,02-2022,Structure Image cannot be exported
1-Bromo-3-Methylbutane,,,,Other substances,10-1998,Structure Image cannot be exported
1-Bromobutane,Butyl bromide;butylbromide,1-bromobutane,C4H9Br,Other substances,09-2023,Structure Image cannot be exported
1-Butylimidazole,,,,Other,06-2014,Structure Image cannot be exported
1-Cbz-4-Piperidone,1-Benzyloxycarbonyl-4-piperidone;1-CBZ-piperidinone;N-Cbz-4-piperidone,benzyl 4-oxopiperidine-1-carboxylate,C13H15NO3 ,New Drug,10-2023,Structure Image cannot be exported
1-Cyclohexylpiperazine,N-cyclohexylpiperazine,,C10H20N2,Other substances,01-2023,Structure Image cannot be exported
1-Dehydromethandrostenolone,,,,Steroids,08-2008,Structure Image cannot be exported
1-Formylpiperidine,,1-piperidinecarbaldehyde,C6H11NO,Other substances,10-1998,Structure Image cannot be exported
1-Methyl-3-Hydroxypiperidine,,,,Other substances,10-1998,Structure Image cannot be exported
1-Methyl-4-(1-Methylenthenyl)-2-Cyclohexen-1-Ol,,,,Other substances,10-1998,Structure Image cannot be exported
"1-Methyl-4-Phenyl-1,2,5,6-Tetrahydropyridine",,,,Narcotics,10-1998,Structure Image cannot be exported
1-Methylpiperazine,,,,Other substances,05-2017,Structure Image cannot be exported
1-Methylpiperidine,,1-methylpiperidine,C6H13N,Other substances,10-1998,Structure Image cannot be exported
1-Phenethyl-4-Piperidone,,,,Other substances,10-1998,Structure Image cannot be exported
1-Phenethyl-4-hydroxypiperidine,,1-(2-phenylethyl)piperidin-4-ol,C13H19NO,Fentanyl and Fentanyl-related,09-2021,Structure Image cannot be exported
1-Phenethyl-4-propionyloxypiperidine,,1-phenethylpiperidin-4-yl propionate,C16H23NO2,Fentanyl and Fentanyl-related,09-2021,Structure Image cannot be exported
1-Phenethylpiperidin-4-ol,,,,Other substances,09-2023,Structure Image cannot be exported
"1-Phenyl-1,2-propanedione-2-oxime",alpha-isonitropropiophenone,(2E)-2-hydroxyimino-1-phenylpropan-1-one,C9H9NO2,New Drug,12-2023,Structure Image cannot be exported
1-Phenyl-2-Propanone,,,,Other substances,10-1998,Structure Image cannot be exported
1-Phenyl-2-nitropropene ,P2NP,[(1E)-2-nitroprop-1-en-1-yl]benzene,C9H9NO2,Other substances,10-2018,Structure Image cannot be exported
1-Phenylcyclohexanol,,,,Other substances,10-1998,Structure Image cannot be exported
1-Phenylcyclohexylamine,,,,Other substances,10-1998,Structure Image cannot be exported
1-Phenylcyclohexylmorpholine,,,,Other substances,10-1998,Structure Image cannot be exported
1-Propionyl-4-anilinopiperidine,,1-(4-anilinopiperid-1-yl)propan-1-one,C14H20N2O,Fentanyl and Fentanyl-related,06-2021,Structure Image cannot be exported
1-Pyrrolidinocyclohexanecarbonitrile,,,,Other substances,05-2011,Structure Image cannot be exported
1-naphthaleneacetic acid,,,,Other,06-2014,Structure Image cannot be exported
1-{1-(2-Thienyl)Cyclohexyl}Pyrrolidine,,,,Other substances,10-1998,Structure Image cannot be exported
10-Alpha-Hydroxynaltrexone,,,,Narcotics,10-1998,Structure Image cannot be exported
10-Hydroxy-Naltrexone,,,,Narcotics,10-1998,Structure Image cannot be exported
10-Ketonaltrexone,,,,Narcotics,10-1998,Structure Image cannot be exported
10-hydroxycarbazepine,,,,Other substances,10-2023,Structure Image cannot be exported
11-CARBOXY-DELTA-9-TETRAHYDROCANNABINOL,,,,Cannabinoids,11-2023,Structure Image cannot be exported
11-Carboxy-delta-8-tetrahydrocannabinol,,,,Cannabinoids,06-2023,Structure Image cannot be exported
11-Nor-delta-9-THC-9-carboxy,,,,Cannabinoids,09-2020,Structure Image cannot be exported
11-OH-THC,,,,Cannabinoids,06-2023,Structure Image cannot be exported
11-carboxy-tetrahydrocannabinol,,,,Cannabinoids,09-2023,Structure Image cannot be exported
11Beta-Hydroxyandrostenedione,,"11Beta-hydroxyandrost-4-ene-3,17-dione",,Steroids,07-2009,Structure Image cannot be exported
13Beta-ethyl-17alpha-hydroxygon-4-en-3-one,,,,Steroids,07-2006,Structure Image cannot be exported
14 Hydroxycodeinone,,,,Narcotics,10-1998,Structure Image cannot be exported
14-Hydroxymorphinon,,,,Narcotics,10-1998,Structure Image cannot be exported
14-Hydroxynormorphine,,,,Narcotics,10-1998,Structure Image cannot be exported
17-Alpha-Methyltestosterone,,,,Steroids,08-2003,Structure Image cannot be exported
17-Hydroxyprogesterone,,,,Other substances,10-2012,Structure Image cannot be exported
"17Alpha-methyl-3alpha,17beta-dihydroxy-5alpha-androstane",,,,Steroids,07-2006,Structure Image cannot be exported
"17Alpha-methyl-3beta, 17beta-Dihydroxy-5alpha-Androstane",,,,Steroids,07-2006,Structure Image cannot be exported
"17Alpha-methyl-3beta,17beta-dihydroxyandrost-4-ene",,,,Steroids,07-2006,Structure Image cannot be exported
17Alpha-methyl-4-hydroxynandrolone,,,,Steroids,07-2006,Structure Image cannot be exported
17Alpha-methyl-delta1-dihydrotestosterone,,,,Steroids,07-2006,Structure Image cannot be exported
18-Hydroxy-Deoxycorticosterone,,,,Other substances,04-2011,Structure Image cannot be exported
"19-Nor-4,9(10)-androstadienedione",,,,Steroids,07-2010,Structure Image cannot be exported
19-Nor-4-androstenediol (3-alpha),,,,Steroids,07-2006,Structure Image cannot be exported
19-Nor-4-androstenediol (3-beta),,,,Steroids,07-2006,Structure Image cannot be exported
19-Nor-4-androstenedione,,,,Steroids,07-2006,Structure Image cannot be exported
19-Nor-5-androstenediol (3-alpha),,,,Steroids,07-2006,Structure Image cannot be exported
19-Nor-5-androstenediol (3-beta),,,,Steroids,07-2006,Structure Image cannot be exported
19-Nor-5-androstenedione,,,,Steroids,07-2006,Structure Image cannot be exported
19-Norandrostenedione,,,,Steroids,11-2005,Structure Image cannot be exported
1B-LSD,1-butanoyl LSD;1-butanoyl lysergic acid diethylamide,"4-butyryl-N,N-diethyl-7-methyl-4,6,6a,7,8,9-hexahydroindolo[4,3-fg]quinoline-9-carboxamide",C24H31N3O2,Psychedelics,02-2020,Structure Image cannot be exported
1P-LSD,1-propionyl LSD;1-propionyl lysergic acid diethylamide,"N,N-diethyl-7-methyl-4-propionyl-4,6,6a,7,8,9-hexahydro-4,7-diazaacephenanthrylene-9-carboxamide",C23H29N3O2,Hallucinogens,03-2018,Structure Image cannot be exported
1V-LSD,1-valeryl LSD ;1-valeryl lysergic acid diethylamide,"N,N-diethyl-7-methyl-4-valeryl-4,6,6a,7,8,9-hexahydro-4,7-diazaacephenanthrylene-9-carboxamide",C25H33N3O2,Psychedelics,11-2022,Structure Image cannot be exported
1cP-LSD,1-cyclopropionyl LSD;1-cyclopropionyl lysergic acid diethylamide,"N,N-diethyl-4-cyclopropylcarbonyl-7-methyl-4,6,6a,7,8,9-hexahydro-4,7-diazaacephenanthrylene-9-carboxamide",C24H29N3O2,Psychedelics,10-2021,Structure Image cannot be exported
"2,2'-Ethylenedioxydiethyl bis(2-ethylhexanoate)",,"2-[2-[2-(2-ethylhexanoyloxy)ethoxy]ethoxy]ethyl 2-ethylhexanoate (Alternative chemical name: (ethane-1,2-diylbis(oxy))bis(ethane-2,1-diyl) bis(2-ethylhexanoate))",C22H42O6,Other substances,06-2025,Structure Image cannot be exported
"2,2'-thiobis(4-tert-butylphenol)",,,,Other substances,07-2019,Structure Image cannot be exported
"2,2,3,4-Tetramethyl-5-Phenyloxazolidine",,,,Other substances,06-2010,Structure Image cannot be exported
"2,2,6,6-Tetramethyl-4-piperidinol",,"2,2,6,6-tetramethylpiperidin-4-ol",C9H19NO,Other substances,06-2025,Structure Image cannot be exported
"2,2,6,6-Tetramethyl-N-phenylpiperidin-4-amine (TM-4-AP)","4-anilino-2,2,6,6-tetramethylpiperadine;TM-4-AP;tetramethyl 4-AP","2,2,6,6-tetramethyl-N-phenyl-4-piperidinamine",C15H24N2,Other,08-2025,Structure Image cannot be exported
"2,2-Bis-Oxymorphone",,,,Narcotics,10-1998,Structure Image cannot be exported
"2,2-Dimethoxyethanamine",,,,Other substances,10-1998,Structure Image cannot be exported
"2,3-Butanediol",,,,Other substances,04-2011,Structure Image cannot be exported
"2,3-Dichlorophenylpiperazine","2,3-DCPP","1-(2,3-dichlorophenyl)piperazine",C10H12Cl2N2,Piperazines (Hallucinogen),12-2019,Structure Image cannot be exported
"2,3-MDA","2,3-methylenedioxyamphetamine","1-(2H-1,3-benzodioxol-4-yl)propan-2-amine",C10H13NO2,Phenethylamines (Amphetamines) (H),06-2018,Structure Image cannot be exported
"2,3-MDMA","2,3-methylenedioxymethamphetamine","N-methyl[2-(2H-1,3-benzodioxol-4-yl)-1-methylethyl]amine",C11H15NO2,Phenethylamines (Other) (H),02-2017,Structure Image cannot be exported
"2,3-MDMC","2,3-methylenedioxymethcathinone","1-(2H-1,3-benzodioxol-4-yl)-2-(methylamino)propan-1-one",C11H13NO3,Synthetic Cathinones,05-2013,Structure Image cannot be exported
"2,3-Pentylone isomer",,"1-(2H-1,3-benzodioxol-4-yl)-2-(methylamino)pentan-1-one",C13H17NO3,Synthetic Cathinones,03-2018,Structure Image cannot be exported
"2,4-Difluorobenzaldehyde",,,,Other substances,07-2019,Structure Image cannot be exported
"2,5-DMA","2,5-dimethoxyamphetamine","2,5-dimethoxyamphetamine",C11H17NO2,Phenethylamines (D Series) (H),10-1998,Structure Image cannot be exported
"2,5-DMMA","2,5-dimethoxymethamphetamine","N-methyl[2-(2,5-dimethoxyphenyl)-1-methylethyl]amine",C12H19NO2,Phenethylamines (Amphetamines) (H),12-2013,Structure Image cannot be exported
"2,5-Diethoxytetrahydrofuran",,,,Other substances,10-1998,Structure Image cannot be exported
"2,5-Dimethoxy-4-Methylbenzyl Alcohol",,,,Other substances,10-1998,Structure Image cannot be exported
"2,5-Dimethoxy-beta-nitrostyrene",,"1,4-dimethoxy-2-[(E)-2-nitroethenyl]benzene",C10H11NO4,Other substances,03-2025,Structure Image cannot be exported
"2,5-Dimethoxybenzaldehyde",,,,Other substances,10-1998,Structure Image cannot be exported
"2,5-Dimethoxycinnamaldehyde",,,,Other substances,02-2012,Structure Image cannot be exported
"2,5-Dimethoxytetrahydrofuran",,,,Other substances,10-1998,Structure Image cannot be exported
"2,5-Dimethylamphetamine",,,,Phenethylamines (Amphetamines) (S),03-2023,Structure Image cannot be exported
"2,5-dimethylpyrazine",,,,Other,06-2014,Structure Image cannot be exported
"2,6-Dinitrotoluene",,,,Other substances,10-1998,Structure Image cannot be exported
2-(Boc-amino)ethanethiol,,,,Other substances,07-2019,Structure Image cannot be exported
2-AI,2-aminoindane,2-aminoindane,C9H11N,Phenethylamines (Aminoindanes) (H),05-2013,Structure Image cannot be exported
2-APB,2-(2-aminopropyl)benzofuran,2-(2-aminopropyl)benzofuran,C11H13NO,Phenethylamines (Amphetamines) (H),06-2018,Structure Image cannot be exported
2-Acetyl-2-Methyl-1-Phenylhydrazine,N-methyl-N-phenyl-acetohydrazide,N-methyl-N'-phenylacetohydrazide,C9H12N2O,Other substances,09-2023,Structure Image cannot be exported
2-Amino-5-Chlorobenzophenone,,,,Other substances,10-1998,Structure Image cannot be exported
2-Amino-5-Chlorobenzophenone Oxime,,,,Other substances,10-1998,Structure Image cannot be exported
2-Amino-5-methylhexane,,"1,4-dimethylpentylamine",C7H17N,Other substances,01-2022,Structure Image cannot be exported
2-Aminoacetophenone,,,,Other substances,01-2021,Structure Image cannot be exported
2-Aminoisoheptane,,"1,4-dimethylpentylamine",C7H17N,Stimulants,12-2019,Structure Image cannot be exported
"2-Bromo-4,5-DMPEA","2-bromo-4,5-dimethoxyphenethylamine;6-bromo-3,4-DMPEA;6-bromo-3,4-dimethoxyphenethylamine","2-(2-bromo-4,5-dimethoxyphenyl)ethylamine",C10H14BrNO2,Phenethylamines (Other) (H),06-2020,Structure Image cannot be exported
2-Bromoamphetamine,2-BA,1-(2-bromophenyl)propan-2-amine,C9H12BrN,Phenethylamines (Amphetamines) (S),06-2019,Structure Image cannot be exported
2-Bromopentane,,,,Other substances,10-1998,Structure Image cannot be exported
2-Bromopropiophenone,,2-bromo-1-phenylpropan-1-one,C9H9BrO,Other substances,09-2021,Structure Image cannot be exported
2-Bromopropylbenzene,,,,Other substances,10-1998,Structure Image cannot be exported
2-Bromopyridine,,,,Other substances,10-1998,Structure Image cannot be exported
2-Bromothiophene,,,,Other substances,10-1998,Structure Image cannot be exported
2-CEC,2-chloro-N-ethylcathinone;2-chloroethcathinone,1-(2-chlorophenyl)-2-(ethylamino)propan-1-one,C11H14ClNO,Synthetic Cathinones,04-2018,Structure Image cannot be exported
2-Chloro 4-ANPP,,,C19H23ClN2,Fentanyl and Fentanyl-related,06-2021,Structure Image cannot be exported
2-Chloro-4-fluorobenzaldehyde,,,,Other substances,07-2019,Structure Image cannot be exported
2-Chloroacetophenone,,,,Other substances,03-2016,Structure Image cannot be exported
2-Chlorobenzonitrile,o-Chlorobenzonitrile;o-Chlorocyanobenzene,2-chlorobenzonitrile,C7H4ClN,Other,09-2024,Structure Image cannot be exported
2-Chloromethcathinone,2-Cmc,1-(2-chlorophenyl)-2-(methylamino)propan-1-one,C10H12ClNO,Synthetic Cathinones,09-2024,Structure Image cannot be exported
2-Chloropyridine,,,,Other substances,10-1998,Structure Image cannot be exported
2-Ethylamino-1-phenylbutane,,N-ethyl(1-benzylpropyl)amine,C12H19N,Phenethylamines (Amphetamines) (S),06-2015,Structure Image cannot be exported
2-Fluoro 4-ANPP,,,C19H23FN2,Fentanyl and Fentanyl-related,09-2022,Structure Image cannot be exported
2-Fluoro viminol,,2-(disec-butylamino)-1-[1-[(2-fluorophenyl)methyl]pyrrol-2-yl]ethanol,C21H31FN2O,Narcotic Analgesics,06-2020,Structure Image cannot be exported
2-Fluoro-4-methoxybenzaldehyde,,,,Other substances,07-2019,Structure Image cannot be exported
2-Fluoroamphetamine ,2-FA,1-(2-fluorophenyl)propan-2-amine,C9H12FN,Phenethylamines (Amphetamines) (S),08-2012,Structure Image cannot be exported
2-Fluorodeschloroketamine,,2-(methylamino)-2-(2-fluorophenyl)cyclohexan-1-one,C13H16FNO,Depressants and Tranquilizers,06-2018,Structure Image cannot be exported
2-Fluoromethamphetamine ,2-FMA,1-(2-fluorophenyl)-N-methyl-propan-2-amine,C10H14FN,Phenethylamines (Amphetamines) (S),05-2012,Structure Image cannot be exported
2-MAPB,"N,alpha-dimethyl-2-benzofuranethylamine","N,alpha-dimethyl-2-benzofuranethanamine",C12H15NO,Phenethylamines (Amphetamines) (H),06-2015,Structure Image cannot be exported
2-Mercaptobenzothiazole,,,,Other,10-2012,Structure Image cannot be exported
2-Methoxydiphenidine,,,,Hallucinogens,06-2015,Structure Image cannot be exported
2-Methoxymethamphetamine,2-MMA;proasma,1-(2-methoxyphenyl)-N-methyl-propan-2-amine,C11H17NO,Phenethylamines (Amphetamines) (H),01-2020,Structure Image cannot be exported
2-Methyl AP-237,2-methyl bucinnazine,1‐{2‐methyl‐4‐[(2E)‐3‐phenylprop‐2‐en‐1‐yl]piperazin‐1‐yl}butan‐1‐one,C18H26N2O,Narcotic Analgesics,12-2019,Structure Image cannot be exported
2-Methyl-3-phenyloxirane-2-carboxylic acid (BMK Glycidic Acid),BMK Glycidic Acid,2-methyl-3-phenyloxirane-2-carboxylic acid,C10H10O3,Other substances,03-2025,Structure Image cannot be exported
2-Methyl-alpha-PiHP,1-(2-methylphenyl)-4-methyl-2-(pyrrolidin-1-yl)pentan-1-one;2-Methyl-PiHP;2-Methyl-alpha-PiHP;2-Methyl-alpha-pyrrolidinoisohexanophenone;ortho-Methyl-PiHP,4-methyl-2-(pyrrolidin-1-yl)-1-(o-tolyl)pentan-1-one,C17H25NO,Synthetic Cathinones,08-2025,Structure Image cannot be exported
2-Methylmethcathinone (2-MMC),2-MMC,2-(methylamino)-1-(2-methylphenyl)propan-1-one,C11H15NO,Synthetic Cathinones (Hallucinogen),12-2024,Structure Image cannot be exported
2-Methylpiperidine,,2-methylpiperidine,C6H13N,Other substances,10-1998,Structure Image cannot be exported
2-Naphthyl U-47700,,N-[2-(dimethylamino)cyclohexyl]-N-methylnaphthalene-2-carboxamide,C20H26N2O,Narcotic Analgesics,01-2022,Structure Image cannot be exported
2-Phenoxyethanol,,,,Other substances,02-2018,Structure Image cannot be exported
2-Phenylethyl chloride,2-Phenylethyl chloride;2-chloroethylbenzene;Phenethyl chloride,2-chloroethylbenzene,C8H9Cl,Other,08-2024,Structure Image cannot be exported
2-Phenylnaphthalene,,2-phenylnaphthalene,C16H12,Other substances,01-2023,Structure Image cannot be exported
2-Propenylbenzene,,,,Other substances,10-1998,Structure Image cannot be exported
2-Thiothinone,bk-MPA,2-(methylamino)-1-(thien-2-yl)propan-1-one,C8H11NOS,Synthetic Cathinones,06-2018,Structure Image cannot be exported
2-amino-5-benzoylaminohydroquinone diethyl ether,,,,Other,06-2014,Structure Image cannot be exported
2-aminothiazole-5-ca,,,,Other,06-2014,Structure Image cannot be exported
2-bromo Deschloroketamine,2-(2-bromophenyl)-2-(methylamino)-cyclohexanone;2-BDCK;2-Br-2'-Oxo-PCM;Bromoketamine,2-(2-bromophenyl)-2-(methylamino)cyclohexan-1-one,C13H16BrNO,Depressants and Tranquilizers,10-2023,Structure Image cannot be exported
2-bromo-4'-chloropropiophenone,alpha-bromo-4'-chloropropiophenone;alpha-bromo-p-chloropropiophenone,2-bromo-1-(4-chlorophenyl)propan-1-one,C9H8BrClO,Synthetic Cathinones,12-2025,Structure Image cannot be exported
2-ethylhexyl fumarate,,,,Other substances,06-2018,Structure Image cannot be exported
2-fluoro-2-oxo-PCE,2-FDCNEK;2-fluoro DCNEK;2-fluoro NENDCK;2-fluoro-N-ethylnordeschloroketamine;2F-2-oxo-PCE;CanKet,2-(ethylamino)-2-(2-fluorophenyl)cyclohexan-1-one,C14H18FNO,Other substances,11-2022,Structure Image cannot be exported
2-hydroxypropyl methacrylate (HPMA),,,,Other,06-2014,Structure Image cannot be exported
2-{4-(2-hydroxyethyl)piperazine-1-yl}ethanesulfonic acid aka HEPES,,,,Other substances,06-2014,Structure Image cannot be exported
21-hydroxyprogesterone,,,,Steroids,01-2020,Structure Image cannot be exported
25B-NBF,2C-B-NBF,"[2-(4-bromo-2,5-dimethoxyphenyl)ethyl][(2-fluorophenyl)methyl]amine",C17H19BrFNO2,Phenethylamines (2C Series) (H),03-2018,Structure Image cannot be exported
25B-NBOH,2C-B-NBOH,"2-({[2-(4-bromo-2,5-dimethoxyphenyl)ethyl]amino}methyl)phenol",C17H20BrNO3,Phenethylamines (2C Series) (H),05-2017,Structure Image cannot be exported
25B-NBOMe,2C-B-NBOMe,"2-(4-bromo-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",C18H22BrNO3,Phenethylamines (2C Series) (H),05-2013,Structure Image cannot be exported
25C-NBF,2C-C-NBF,"2-(4-chloro-2,5-dimethoxyphenyl)-N-(2-fluorobenzyl)ethanamine",C17H19ClFNO2,Phenethylamines (2C Series) (H),03-2018,Structure Image cannot be exported
25C-NBOH,2C-C-NBOH,"2-({[2-(4-chloro-2,5-dimethoxyphenyl)ethyl]amino}methyl)phenol",C17H20ClNO3,Phenethylamines (2C Series) (H),05-2017,Structure Image cannot be exported
25C-NBOMe,2C-C-NBOMe,"2-(4-chloro-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",C18H22ClNO3,Phenethylamines (2C Series) (H),05-2012,Structure Image cannot be exported
25D-NBOMe,2C-D-NBOMe,"2-(4-methyl-2,5-dimethoxyphenyl)-N-(2-methoxybenzyl)ethanamine",C19H25NO3,Phenethylamines (2C Series) (H),06-2015,Structure Image cannot be exported
25E-NBOH,2C-E-NBOH,"2-({[2-(4-ethyl-2,5-dimethoxyphenyl)ethyl]amino}methyl)phenol",C19H25NO3,Phenethylamines (2C Series) (H),12-2018,Structure Image cannot be exported
