quarter,deaths,yoy_pct,subs_per_death,n_substances,breach_onsets
2012-01-01,109,,1.4495412844036697,22,0
2012-04-01,99,,1.4444444444444444,17,0
2012-07-01,116,,1.5172413793103448,25,0
2012-10-01,134,,1.4402985074626866,19,0
2013-01-01,117,7.339449541284404,1.5128205128205128,20,0
2013-04-01,149,50.5050505050505,1.516778523489933,22,0
2013-07-01,132,13.793103448275868,1.4924242424242424,23,0
2013-10-01,130,-2.985074626865669,1.4153846153846155,21,0
2014-01-01,133,13.675213675213671,1.6090225563909775,34,0
2014-04-01,130,-12.751677852348998,1.6615384615384616,30,0
2014-07-01,139,5.303030303030298,1.5539568345323742,36,0
2014-10-01,145,11.538461538461542,1.6137931034482758,35,0
2015-01-01,152,14.28571428571428,1.506578947368421,29,0
2015-04-01,163,25.384615384615383,1.6441717791411044,33,0
2015-07-01,199,43.16546762589928,1.6381909547738693,42,0
2015-10-01,168,15.86206896551725,1.4404761904761905,33,0
2016-01-01,183,20.394736842105267,1.6229508196721312,42,0
2016-04-01,183,12.269938650306745,1.6229508196721312,37,0
2016-07-01,194,-2.5125628140703515,1.6494845360824741,42,1
2016-10-01,212,26.190476190476186,1.5849056603773586,36,0
2017-01-01,203,10.92896174863387,1.6305418719211822,40,0
2017-04-01,209,14.207650273224036,1.6220095693779903,44,0
2017-07-01,244,25.773195876288657,1.6721311475409837,52,0
2017-10-01,211,-0.4716981132075526,1.8009478672985781,46,1
2018-01-01,223,9.852216748768484,1.6591928251121075,43,0
2018-04-01,254,21.53110047846889,1.7440944881889764,48,0
2018-07-01,301,23.360655737704917,1.6677740863787376,40,0
2018-10-01,288,36.49289099526067,1.7152777777777777,39,0
2019-01-01,282,26.457399103139025,1.6595744680851063,40,0
2019-04-01,310,22.047244094488192,1.7096774193548387,44,0
2019-07-01,362,20.26578073089702,1.7596685082872927,55,0
2019-10-01,346,20.138888888888886,1.8410404624277457,51,0
2020-01-01,441,56.38297872340425,1.8662131519274376,44,2
2020-04-01,527,70.0,1.872865275142315,51,1
2020-07-01,686,89.50276243093921,1.8877551020408163,56,1
2020-10-01,595,71.96531791907515,1.7932773109243698,47,0
2021-01-01,611,38.54875283446712,1.8821603927986907,48,0
2021-04-01,694,31.688804554079695,1.8659942363112392,66,1
2021-07-01,681,-0.7288629737609353,1.9515418502202644,51,0
2021-10-01,699,17.47899159663866,1.9399141630901287,53,0
2022-01-01,699,14.402618657937815,1.9256080114449212,51,2
2022-04-01,750,8.069164265129691,1.9853333333333334,58,1
2022-07-01,843,23.788546255506617,1.8434163701067616,50,0
2022-10-01,676,-3.290414878397707,1.9142011834319526,51,2
2023-01-01,781,11.731044349070107,1.8591549295774648,50,0
2023-04-01,677,-9.733333333333338,1.948301329394387,42,0
2023-07-01,750,-11.032028469750887,1.9133333333333333,51,0
2023-10-01,663,-1.9230769230769273,1.9577677224736048,55,0
2024-01-01,712,-8.834827144686297,1.9213483146067416,55,1
2024-04-01,658,-2.8064992614475592,1.8601823708206686,51,0
2024-07-01,608,-18.933333333333337,1.8832236842105263,54,7
2024-10-01,641,-3.318250377073906,1.8205928237129485,54,1
2025-01-01,594,-16.57303370786517,1.9175084175084176,47,2
2025-04-01,557,-15.34954407294833,1.8402154398563735,48,1
2025-07-01,520,-14.473684210526317,1.9115384615384616,53,0
2025-10-01,482,-24.80499219968799,1.8112033195020747,44,0
