substance,centre_zip,n_zips,radius_km,cases_inside,pop_inside,trend_inside_pct,trend_outside_pct,llr,p_value,zips
Fentanyl,91765,7,10.194840923233203,160,310571.0,3.8177595863393865,-16.728665616202665,4.7310307851439575,0.63,91765|91789|91766|91768|91792|91748|91767
Fentanyl,90304,2,1.440602700339618,67,61490.0,15.869915308470194,-16.54590982863009,4.441698645110591,,90304|90301
Fentanyl,90301,2,1.440602700339618,67,61490.0,15.869915308470194,-16.54590982863009,4.441698645110591,,90301|90304
Fentanyl,91765,8,10.575050277838782,173,344169.0,1.900714847213969,-16.72349673561132,4.2721694930660306,,91765|91789|91766|91768|91792|91748|91767|91773
Fentanyl,91766,4,7.291626851028831,138,197181.0,4.205405703950849,-16.666935882020717,4.207554126915056,,91766|91768|91767|91765
Fentanyl,90303,4,2.564400892430858,76,98925.0,12.020722358289238,-16.552578485809867,4.0571981924586,,90303|90304|90301|90305
Fentanyl,91765,10,10.908953348235283,185,405549.0,0.05372705996717908,-16.71071928210255,3.761508174255141,,91765|91789|91766|91768|91792|91748|91767|91773|91724|91791
Fentanyl,91766,5,7.420505502299129,142,229873.0,2.3914506414311365,-16.64504784830023,3.6614683974403306,,91766|91768|91767|91765|91750
Fentanyl,91326,29,15.412065064775941,862,1248795.0,-9.552531849712786,-17.275553030735193,3.6506393870004104,,91326|91344|91324|91325|91311|91345|91343|91306|91335|91304|91340|91342|91406|91303|91402|91331|91321|91356|91405|91316|91307|91381|91367|91411|91436|91364|91401|91403|91605
Fentanyl,91344,23,12.339491820111697,759,1084234.0,-9.02861295786035,-17.202445074594465,3.6483622475352604,,91344|91345|91326|91343|91340|91325|91342|91324|91402|91331|91406|91335|91405|91311|91306|91411|91321|91316|91401|91605|91356|91304|91303
