as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval
2014-10-01,Prescription opioids,family,13,1.0,53,52.615635179153095,557,0.0015470034396925514,1.0,1.007305144555191,1.0
2014-10-01,Narcotic Analgesics,category,18,1.0,53,52.615635179153095,557,0.0015470034396925514,1.0,1.007305144555191,1.0
2015-01-01,Other substances,category,71,5.0,37,24.806083650190114,56,5.373774250886866,0.1085,1.4915695892090741,9.216589861751153
2015-01-01,Depressants,superclass,40,5.0,60,45.18250950570342,102,4.326737652819405,0.3424,1.3279474880080788,2.9205607476635516
2015-01-01,Prescription benzodiazepines,family,11,5.0,33,22.59125475285171,51,4.2913198212320705,0.345,1.4607422368088867,2.8985507246376816
2015-01-01,Benzodiazepines,category,19,5.0,34,23.477186311787072,53,4.217504305389925,0.3594,1.4482144303182445,2.782415136338342
2015-01-01,Stimulants,superclass,11,4.0,288,252.51204055766794,704,3.817252743233446,0.5724,1.1405396723417924,1.7470300489168413
2015-01-01,Antidepressants,category,16,5.0,31,21.70532319391635,49,3.5555607750536495,0.6075,1.4282210738372603,1.6460905349794237
2015-01-01,Phenethylamines (Amphetamines) (S),category,4,5.0,236,208.19391634980988,470,3.311184904041692,0.6482,1.133558579125194,1.54273372415921
2015-01-01,Clonazepam,substance,1,5.0,4,1.7718631178707225,4,3.2570510366880367,0.7079,2.257510729613734,1.4126289023873428
2015-01-01,Cardiovascular medications,family,23,6.0,5,2.6267427122940434,5,3.2184667313526223,0.7509,1.9034981905910733,1.3317352510320948
2015-01-01,Alprazolam,substance,1,5.0,20,13.288973384030419,30,3.04111617180223,0.8236,1.5050071530758227,1.2141816415735793
2015-01-01,Methamphetamine,substance,1,5.0,230,205.09315589353614,463,2.6979739676886396,0.88,1.1214416151428914,1.1363636363636365
2015-01-01,Amphetamine,substance,1,5.0,6,3.1007604562737643,7,2.599890930733835,0.8957,1.935009196811772,1.1164452383610584
2015-01-01,Hallucinogens,superclass,8,6.0,4,2.1013941698352347,4,2.5747733850820977,0.9152,1.9034981905910733,1.0926573426573427
2015-01-01,Fluoxetine,substance,1,4.0,6,2.8694550063371356,8,2.5416946853821707,0.9191,2.0909893992932864,1.088020890001088
2015-01-01,Venlafaxine,substance,1,5.0,3,1.3288973384030418,3,2.4427882775160277,0.9519,2.257510729613734,1.0505305179115454
2015-01-01,PCP,substance,1,4.0,7,3.5868187579214195,10,2.4012818965447473,0.9542,1.951590106007067,1.0479983232026828
2015-01-01,MDMA,substance,1,6.0,3,1.576045627376426,3,1.9310800388115732,0.9915,1.9034981905910733,1.0085728693898133
2015-01-01,Antihistamines,family,9,5.0,12,7.973384030418251,18,1.8246697030813355,0.9929,1.5050071530758224,1.0071507704703393
2015-01-01,Diphenhydramine,substance,1,5.0,8,4.8726235741444865,11,1.824009083198943,0.9931,1.6418259851736248,1.006947940791461
2015-01-01,Dissociatives,family,4,4.0,8,4.662864385297845,13,1.762083892022349,0.994,1.7156836096765427,1.0060362173038229
2015-01-01,Quetiapine,substance,1,3.0,7,3.868187579214195,14,1.5634780568873117,0.9972,1.8096330275229358,1.0028078620136383
2015-01-01,root,root,211,5.0,1109,1066.2186311787073,2407,1.5369404275730219,0.9975,1.0401243868473746,1.0025062656641603
2015-01-01,Diazepam,substance,1,2.0,3,1.129277566539924,6,1.4772126029769441,0.998,2.6565656565656566,1.002004008016032
2015-01-01,Trazodone,substance,1,5.0,4,2.214828897338403,5,1.3401675227177405,0.9995,1.8060085836909872,1.0005002501250624
2015-01-01,Mirtazapine,substance,1,5.0,4,2.214828897338403,5,1.3401675227177405,0.9995,1.8060085836909872,1.0005002501250624
2015-01-01,Analgesics,category,4,4.0,3,1.4347275031685678,4,1.2708473426910853,0.9997,2.0909893992932864,1.000300090027008
2015-01-01,Acetaminophen,substance,1,4.0,3,1.4347275031685678,4,1.2708473426910853,0.9997,2.0909893992932864,1.000300090027008
2015-01-01,Depressants and Tranquilizers,category,21,4.0,23,17.575411913814957,49,1.2600000216875387,0.9997,1.3086464267685871,1.000300090027008
2015-01-01,Hydrocodone,substance,1,2.0,15,10.35171102661597,55,1.166014412714918,0.9998,1.4490358126721763,1.0002000400080016
2015-01-01,Zolpidem,substance,1,3.0,3,1.3814955640050697,5,1.1405096615038017,0.9998,2.171559633027523,1.0002000400080016
2015-01-01,Z-drugs,family,2,3.0,3,1.3814955640050697,5,1.1405096615038017,0.9998,2.171559633027523,1.0002000400080016
2015-01-01,Cocaine,substance,1,3.0,74,64.37769328263624,233,0.9656591447076295,0.9999,1.1494664724180021,1.000100010001
2015-01-01,Antipsychotics,family,13,3.0,8,5.249683143219265,19,0.9153580176011804,1.0,1.5239014968614195,1.0
2015-01-01,Muscle relaxants,family,7,4.0,7,4.662864385297845,13,0.8702000835244543,1.0,1.5012231584669748,1.0
2015-01-01,Medicines and other,superclass,123,6.0,310,294.7205323193917,561,0.8364132762958363,1.0,1.0518439199344611,1.0
2015-01-01,Oxycodone,substance,1,5.0,28,23.477186311787072,53,0.7757228381805987,1.0,1.1926471779091425,1.0
2015-01-01,Codeine,substance,1,3.0,3,1.6577946768060836,6,0.6700620243802762,1.0,1.8096330275229358,1.0
2015-01-01,Carisoprodol,substance,1,5.0,5,3.543726235741445,8,0.5341937017581182,1.0,1.4109442060085837,1.0
2015-01-01,Hydromorphone,substance,1,6.0,5,3.677439797211661,7,0.5209286470330217,1.0,1.3596415647079094,1.0
2015-01-01,Barbiturates,family,4,6.0,8,6.304182509505704,12,0.49207482218084175,1.0,1.2689987937273821,1.0
2015-01-01,Amitriptyline,substance,1,6.0,3,2.1013941698352347,4,0.42691397822494004,1.0,1.427623642943305,1.0
2015-01-01,Pentobarbital,substance,1,6.0,6,4.728136882129278,9,0.3690561166356314,1.0,1.2689987937273821,1.0
2015-01-01,Fentanyl,substance,1,5.0,14,11.960076045627376,27,0.30989935627319665,1.0,1.170561119058973,1.0
2015-01-01,Fentanyl and Fentanyl-related,category,9,5.0,14,11.960076045627376,27,0.30989935627319665,1.0,1.170561119058973,1.0
2015-01-01,Tramadol,substance,1,5.0,8,6.644486692015209,15,0.24615265971330236,1.0,1.204005722460658,1.0
2015-01-01,Citalopram,substance,1,5.0,6,4.8726235741444865,11,0.23211795039202432,1.0,1.2313694888802185,1.0
2015-01-01,Methadone,substance,1,2.0,16,15.62167300380228,83,0.005608776672239912,1.0,1.0242180844590483,1.0
2015-04-01,Prescription benzodiazepines,family,11,6.0,46,32.5679463741621,62,6.1324603846629735,0.0707,1.4124317042137564,14.144271570014144
2015-04-01,Benzodiazepines,category,19,6.0,47,33.61852528945765,64,5.877771123078945,0.0847,1.3980387180974476,11.80637544273908
2015-04-01,Fluoxetine,substance,1,5.0,7,3.109689213893967,7,5.679711513570029,0.1052,2.251028806584362,9.505703422053232
2015-04-01,Clonazepam,substance,1,6.0,7,3.6770262035344308,7,4.506640742984783,0.3242,1.9037122969837583,3.0845157310302285
2015-04-01,Cardiovascular medications,family,23,4.0,7,2.9201706276660575,8,4.494599029547774,0.3284,2.3971202003338896,3.045066991473812
2015-04-01,Other substances,category,71,6.0,44,32.5679463741621,62,4.38706057444845,0.3428,1.3510216301175062,2.9171528588098017
2015-04-01,Depressants,superclass,40,6.0,76,60.40828762949422,115,4.33363741500421,0.347,1.2581055180066578,2.8818443804034586
2015-04-01,Alprazolam,substance,1,6.0,26,17.85984156002438,34,4.149136177888815,0.3789,1.4557799918111094,2.6392187912377936
2015-04-01,Antidepressants,category,16,6.0,35,25.739183424741015,49,3.648694507317117,0.6082,1.3597944978455418,1.644195988161789
2015-04-01,Stimulants,superclass,11,5.0,370,333.6252285191956,751,3.5477918817023237,0.6329,1.1090288394623355,1.5800284405119291
2015-04-01,Lorazepam,substance,1,2.0,4,1.1517367458866545,6,3.2091466399775204,0.7648,3.4730158730158727,1.307531380753138
2015-04-01,Codeine,substance,1,1.0,4,0.9932967702620353,10,3.1348228285324122,0.7745,4.026993865030675,1.2911555842479019
2015-04-01,Phenethylamines (Amphetamines) (S),category,4,6.0,291,264.22059719683125,503,2.874608747784528,0.8641,1.101352442191399,1.157273463719477
2015-04-01,Amphetamine,substance,1,6.0,8,4.727605118829982,9,2.7560077460432377,0.8887,1.6921887084300076,1.1252391133115787
2015-04-01,Methamphetamine,substance,1,6.0,283,259.49299207800124,494,2.2535994276044065,0.9598,1.0905882187174163,1.0418837257762035
2015-04-01,Opioids,superclass,29,1.0,129,108.26934795856185,1090,2.0893350246278004,0.9713,1.1914729554792594,1.0295480284155256
2015-04-01,Oxycodone,substance,1,2.0,18,11.517367458866545,60,2.008768671926525,0.9825,1.562857142857143,1.0178117048346056
2015-04-01,Acetaminophen,substance,1,5.0,5,2.6654478976234004,6,1.940990643225095,0.9877,1.8758573388203017,1.0124531740407006
2015-04-01,Analgesics,category,4,5.0,5,2.6654478976234004,6,1.940990643225095,0.9877,1.8758573388203017,1.0124531740407006
2015-04-01,Venlafaxine,substance,1,6.0,3,1.5758683729433274,3,1.931417461279193,0.9921,1.9037122969837585,1.0079629069650238
2015-04-01,Promethazine,substance,1,6.0,3,1.5758683729433274,3,1.931417461279193,0.9921,1.9037122969837585,1.0079629069650238
2015-04-01,PCP,substance,1,5.0,8,4.886654478976234,11,1.8078833743596818,0.9957,1.6371118593340817,1.0043185698503565
2015-04-01,root,root,211,6.0,1377,1329.5076173065206,2531,1.7895856364436256,0.9959,1.0357217830686034,1.0041168792047395
2015-04-01,Prescription opioids,family,13,1.0,74,59.995124923826936,604,1.7022951733455933,0.9969,1.2334335513752894,1.0031096398836392
2015-04-01,Narcotic Analgesics,category,18,1.0,74,59.995124923826936,604,1.7022951733455933,0.9969,1.2334335513752894,1.0031096398836392
2015-04-01,Antihistamines,family,9,6.0,14,10.505789152955515,20,1.2662957161877566,0.9998,1.3325986078886312,1.0002000400080016
2015-04-01,MDMA,substance,1,4.0,3,1.4600853138330288,4,1.2282217692254696,0.9999,2.0546744574290483,1.000100010001
2015-04-01,Hydrocodone,substance,1,3.0,22,16.538695917123707,59,1.1834869576656644,0.9999,1.330213706705969,1.000100010001
2015-04-01,Dissociatives,family,4,5.0,9,6.219378427787934,14,1.114999880394548,1.0,1.4470899470899472,1.0
2015-04-01,Morphine,substance,1,1.0,44,35.56002437538086,358,1.0420322373411501,1.0,1.2373444836686431,1.0
2015-04-01,Cocaine,substance,1,4.0,101,90.16026812918953,247,1.0104934551224396,1.0,1.120227369502477,1.0
2015-04-01,Diphenhydramine,substance,1,6.0,8,5.778184034125534,11,0.9401178977301501,1.0,1.384518034170006,1.0
2015-04-01,Quetiapine,substance,1,4.0,8,5.4753199268738575,15,0.8776933855273139,1.0,1.46110183639399,1.0
2015-04-01,Hallucinogens,superclass,8,6.0,4,2.6264472882388787,5,0.8182612092339944,1.0,1.5229698375870069,1.0
2015-04-01,Mirtazapine,substance,1,6.0,4,2.6264472882388787,5,0.8182612092339944,1.0,1.5229698375870069,1.0
2015-04-01,Trazodone,substance,1,6.0,4,2.6264472882388787,5,0.8182612092339944,1.0,1.5229698375870069,1.0
2015-04-01,Antipsychotics,family,13,4.0,10,7.300426569165143,20,0.7566900063152966,1.0,1.3697829716193657,1.0
2015-04-01,Diazepam,substance,1,3.0,3,1.6819012797074957,6,0.6434535461393642,1.0,1.7836956521739127,1.0
2015-04-01,Zolpidem,substance,1,4.0,3,1.8251066422912858,5,0.5666678814311998,1.0,1.6437395659432388,1.0
2015-04-01,Z-drugs,family,2,4.0,3,1.8251066422912858,5,0.5666678814311998,1.0,1.6437395659432388,1.0
2015-04-01,Heroin,substance,1,1.0,52,45.29433272394881,456,0.5285890098171926,1.0,1.1480464966096222,1.0
2015-04-01,Muscle relaxants,family,7,5.0,8,6.219378427787934,14,0.4549120129394155,1.0,1.2863021751910642,1.0
2015-04-01,Depressants and Tranquilizers,category,21,5.0,26,22.656307129798904,51,0.4408972028341789,1.0,1.1475833131606552,1.0
2015-04-01,Tramadol,substance,1,6.0,10,8.404631322364413,16,0.3233466650523209,1.0,1.1898201856148491,1.0
2015-04-01,Citalopram,substance,1,6.0,7,5.778184034125534,11,0.2765414109468347,1.0,1.2114532798987554,1.0
2015-04-01,Oxymorphone,substance,1,5.0,3,2.221206581352834,5,0.2439459442295352,1.0,1.3506172839506172,1.0
2015-04-01,Carisoprodol,substance,1,6.0,5,4.202315661182206,8,0.16167333252616045,1.0,1.1898201856148491,1.0
2015-04-01,Fentanyl,substance,1,6.0,17,15.758683729433274,30,0.10339658119120809,1.0,1.07877030162413,1.0
2015-04-01,Fentanyl and Fentanyl-related,category,9,6.0,17,15.758683729433274,30,0.10339658119120809,1.0,1.07877030162413,1.0
2015-04-01,Barbiturates,family,4,6.0,6,5.778184034125534,11,0.008983525411856624,1.0,1.0383885256275047,1.0
2015-07-01,Stimulants,superclass,11,6.0,496,446.4956471271039,829,5.999570651697937,0.097,1.1108730918015057,10.309278350515463
2015-07-01,Other substances,category,71,6.0,53,38.77887405687754,72,5.941870467178834,0.1004,1.3667235392720305,9.9601593625498
2015-07-01,Methamphetamine,substance,1,1.0,90,63.86941381311666,553,5.44738422236793,0.1403,1.4091251919634338,7.127583749109052
2015-07-01,Phenethylamines (Amphetamines) (S),category,4,1.0,90,64.90887986070807,562,4.967331080952512,0.1911,1.386559130170425,5.2328623757195185
2015-07-01,Fluoxetine,substance,1,6.0,8,4.308763784097504,8,4.9503240299338325,0.2028,1.8566810344827587,4.930966469428007
2015-07-01,Depressants,superclass,40,6.0,85,68.40162507254787,127,4.4790787260753575,0.363,1.2426605348900355,2.7548209366391188
2015-07-01,Cutting agents and adulterants,family,5,1.0,3,0.4619849100406268,4,4.348940157216417,0.399,6.493718592964824,2.506265664160401
2015-07-01,Antihistamines,family,9,6.0,19,12.387695879280324,23,4.224091140858733,0.4277,1.5337799850074965,2.338087444470423
2015-07-01,Prescription benzodiazepines,family,11,5.0,45,32.883343006384216,71,4.169905491208082,0.4393,1.3684740019061739,2.276348736626451
2015-07-01,Benzodiazepines,category,19,5.0,46,33.809634358676725,73,4.103157287794884,0.4487,1.3605589315755142,2.2286605749944286
2015-07-01,Acetaminophen,substance,1,6.0,5,2.69297736506094,5,3.093952518708645,0.7962,1.8566810344827587,1.2559658377292138
2015-07-01,Analgesics,category,4,6.0,5,2.69297736506094,5,3.093952518708645,0.7962,1.8566810344827587,1.2559658377292138
2015-07-01,Cardiovascular medications,family,23,5.0,7,3.705165409170052,8,2.9958626825108556,0.8369,1.8892543859649122,1.194885888397658
2015-07-01,Clonazepam,substance,1,5.0,7,3.705165409170052,8,2.9958626825108556,0.8369,1.8892543859649122,1.194885888397658
2015-07-01,Muscle relaxants,family,7,1.0,6,2.0789320951828207,18,2.9665914448900503,0.8398,2.886097152428811,1.1907597046915932
2015-07-01,Codeine,substance,1,2.0,6,2.3110853163087635,11,2.9612026943520258,0.8443,2.59618282270216,1.184413123297406
2015-07-01,Isopropanol,substance,1,4.0,3,1.147417295414974,3,2.883296106076267,0.9032,2.614567526555387,1.1071744906997343
2015-07-01,Hydroxyzine,substance,1,4.0,3,1.147417295414974,3,2.883296106076267,0.9032,2.614567526555387,1.1071744906997343
2015-07-01,PCP,substance,1,6.0,8,4.847359257109693,9,2.584315289220142,0.9432,1.650383141762452,1.0602205258693809
2015-07-01,Lorazepam,substance,1,3.0,5,2.0882182240278584,7,2.568654507093296,0.9479,2.394385769872151,1.0549636037556704
2015-07-01,Cyclobenzaprine,substance,1,5.0,3,1.3894370284387696,3,2.3091409172343624,0.9812,2.1591478696741855,1.019160211985324
2015-07-01,Hydromorphone,substance,1,1.0,4,1.2704585026117237,11,2.2828696362677956,0.9825,3.1484696208314302,1.0178117048346056
2015-07-01,Olanzapine,substance,1,6.0,3,1.615786419036564,3,1.8563715112251873,0.9972,1.8566810344827587,1.0028078620136383
2015-07-01,Caffeine,substance,1,6.0,3,1.615786419036564,3,1.8563715112251873,0.9972,1.8566810344827587,1.0028078620136383
2015-07-01,Metformin,substance,1,6.0,3,1.615786419036564,3,1.8563715112251873,0.9972,1.8566810344827587,1.0028078620136383
2015-07-01,Alprazolam,substance,1,6.0,25,19.38943702843877,36,1.820105772219934,0.9976,1.2893618295019156,1.0024057738572574
2015-07-01,Hydrocodone,substance,1,4.0,32,24.860708067324435,65,1.615326038251423,0.9996,1.2871717053811136,1.0004001600640255
2015-07-01,root,root,211,6.0,1489,1443.4358676726638,2680,1.5616629984027952,0.9996,1.0315664404271745,1.0004001600640255
2015-07-01,Diphenhydramine,substance,1,6.0,10,7.001741149158445,13,1.4856915519828915,0.9998,1.4282161803713527,1.0002000400080016
2015-07-01,Diazepam,substance,1,4.0,6,3.4422518862449216,9,1.484059397378239,0.9998,1.7430450177035912,1.0002000400080016
2015-07-01,Oxycodone,substance,1,6.0,41,34.47011027278003,64,1.364757822731704,0.9999,1.1894362877155173,1.000100010001
2015-07-01,Depressants and Tranquilizers,category,21,6.0,35,29.084155542658152,54,1.3301741883799068,0.9999,1.2034043742017881,1.000100010001
2015-07-01,Cocaine,substance,1,5.0,135,122.27045850261172,264,1.2303496697626066,0.9999,1.1041097060833904,1.000100010001
2015-07-01,MDMA,substance,1,5.0,4,2.3157283807312825,5,1.1988709376370486,1.0,1.7273182957393485,1.0
2015-07-01,Dissociatives,family,4,6.0,9,6.463145676146256,12,1.141533163870654,1.0,1.392510775862069,1.0
2015-07-01,Amphetamine,substance,1,6.0,7,4.847359257109693,9,1.1111379784204085,1.0,1.4440852490421456,1.0
2015-07-01,Quetiapine,substance,1,5.0,10,7.410330818340104,16,0.8442955743465217,1.0,1.349467418546366,1.0
2015-07-01,Antipsychotics,family,13,5.0,13,10.189204875217643,22,0.7209626682981147,1.0,1.2758601048074734,1.0
2015-07-01,Lamotrigine,substance,1,5.0,3,1.852582704585026,4,0.6818288377746338,1.0,1.6193609022556392,1.0
2015-07-01,Oxymorphone,substance,1,3.0,3,1.7899013348810215,6,0.5327339875980321,1.0,1.6760700389105059,1.0
2015-07-01,Zolpidem,substance,1,5.0,4,2.778874056877539,6,0.5038265445746155,1.0,1.4394319131161237,1.0
2015-07-01,Z-drugs,family,2,5.0,4,2.778874056877539,6,0.5038265445746155,1.0,1.4394319131161237,1.0
2015-07-01,Hallucinogens,superclass,8,5.0,4,2.778874056877539,6,0.5038265445746155,1.0,1.4394319131161237,1.0
2015-07-01,Narcotic Analgesics,category,18,2.0,141,131.31166569936158,625,0.4446209881332468,1.0,1.0737812154696131,1.0
2015-07-01,Prescription opioids,family,13,2.0,141,131.31166569936158,625,0.4446209881332468,1.0,1.0737812154696131,1.0
2015-07-01,Meprobamate,substance,1,6.0,3,2.154381892048752,4,0.3805110546235513,1.0,1.392510775862069,1.0
2015-07-01,Carisoprodol,substance,1,6.0,6,4.847359257109693,9,0.3045558734178524,1.0,1.2377873563218391,1.0
2015-07-01,Antidepressants,category,16,6.0,30,28.00696459663378,52,0.15445985098440862,1.0,1.0711621352785146,1.0
2015-07-01,Opioids,superclass,29,2.0,241,235.94080092861287,1123,0.06831243022712297,1.0,1.021442662953907,1.0
2015-07-01,Trazodone,substance,1,5.0,3,2.778874056877539,6,0.016343330921204158,1.0,1.0795739348370927,1.0
2015-07-01,Morphine,substance,1,2.0,77,75.84561810795124,361,0.011080485327995548,1.0,1.015220152737179,1.0
2015-07-01,Fentanyl and Fentanyl-related,category,9,1.0,4,3.811375507835171,33,0.005203141066014466,1.0,1.0494898736104765,1.0
2015-07-01,Citalopram,substance,1,6.0,6,5.924550203134068,11,0.0010420085751190467,1.0,1.0127351097178685,1.0
2015-10-01,Methamphetamine,substance,1,2.0,152,120.10529311326125,575,5.048304199255369,0.1753,1.2655562137187535,5.704506560182544
2015-10-01,Stimulants,superclass,11,6.0,514,468.4302788844621,852,4.968977503343808,0.1842,1.097281758181942,5.4288816503800215
2015-10-01,Phenethylamines (Amphetamines) (S),category,4,4.0,263,226.68639726807058,584,4.675803583910792,0.3528,1.16019312658177,2.834467120181406
2015-10-01,Muscle relaxants,family,7,2.0,11,4.595332953898692,22,4.554120351824957,0.3616,2.393732970027248,2.765486725663717
2015-10-01,Meprobamate,substance,1,2.0,4,1.0443938531587935,5,3.996296904901527,0.4934,3.8299727520435964,2.026753141467369
2015-10-01,Other substances,category,71,6.0,51,40.135458167330675,73,3.388096640922301,0.7611,1.2706968433591423,1.3138877939823939
2015-10-01,Hydroxyzine,substance,1,5.0,4,1.8827546955036996,4,3.0142335726536236,0.8395,2.124546553808948,1.1911852293031566
2015-10-01,Cyclobenzaprine,substance,1,6.0,5,2.749003984063745,5,2.9909962698728965,0.8559,1.818840579710145,1.168360789811894
2015-10-01,Clonazepam,substance,1,6.0,9,5.49800796812749,10,2.9310286722761747,0.8686,1.6369565217391306,1.1512779184895232
2015-10-01,Cardiovascular medications,family,23,6.0,9,5.49800796812749,10,2.9310286722761747,0.8686,1.6369565217391306,1.1512779184895232
2015-10-01,Prescription benzodiazepines,family,11,6.0,52,41.78486055776892,76,2.8621555295685166,0.8883,1.244469870327994,1.1257458065968704
2015-10-01,Depressants,superclass,40,6.0,90,76.42231075697211,139,2.733311990243262,0.9351,1.1776665624022522,1.0694043417816277
2015-10-01,Benzodiazepines,category,19,6.0,53,42.884462151394416,78,2.7302670293181013,0.9352,1.235878855444073,1.06928999144568
2015-10-01,Cutting agents and adulterants,family,5,2.0,3,0.8355150825270348,4,2.682967203984707,0.9429,3.5905994550408717,1.0605578534309048
2015-10-01,Hydrocodone,substance,1,5.0,42,32.94820717131474,70,2.351633879329375,0.9732,1.2747279322853688,1.0275380189066996
2015-10-01,Duloxetine,substance,1,5.0,3,1.4120660216277747,3,2.260675179490217,0.9871,2.1245465538089476,1.013068584743187
