as_of,node,level,n_leaves,window_q,observed,expected,n_study,llr,p_value,obs_exp,recurrence_interval
2014-10-01,Other substances,category,71,4.0,34,19.59934853420195,55,7.763019207474251,0.0091,1.7347515373109526,109.89010989010988
2014-10-01,Depressants,superclass,40,4.0,50,33.85342019543974,95,5.701633791290465,0.0746,1.476955643221399,13.404825737265416
2014-10-01,Prescription benzodiazepines,family,11,4.0,27,16.39218241042345,46,5.04548318615759,0.1951,1.6471266195056038,5.125576627370579
2014-10-01,Benzodiazepines,category,19,4.0,27,16.748534201954396,47,4.616957973474088,0.2629,1.6120813722820804,3.803727653100038
2014-10-01,Clonazepam,substance,1,4.0,4,1.4254071661237784,4,4.127347430397266,0.3765,2.8062157221206583,2.6560424966799467
2014-10-01,Phenethylamines (Amphetamines) (S),category,4,6.0,256,228.73355048859935,434,3.4611209826389917,0.5965,1.1192061656593735,1.6764459346186085
2014-10-01,Cardiovascular medications,family,23,2.0,4,1.1100977198697066,6,3.339334976780263,0.6203,3.6032863849765264,1.6121231662098985
2014-10-01,PCP,substance,1,3.0,7,2.966775244299674,11,3.2198752382531124,0.692,2.3594642072902943,1.4450867052023122
2014-10-01,Methamphetamine,substance,1,6.0,252,226.09837133550488,429,3.158482924734976,0.7354,1.1145591120869243,1.3598041881968996
2014-10-01,Stimulants,superclass,11,3.0,207,178.00651465798043,660,3.1325913167626673,0.7367,1.162878787878788,1.3574046423238768
2014-10-01,Alprazolam,substance,1,4.0,16,9.621498371335504,27,3.106694481098481,0.742,1.6629426501455755,1.3477088948787062
2014-10-01,Antidepressants,category,16,4.0,25,16.748534201954396,47,3.007078925213575,0.8229,1.4926679372982226,1.2152144853566655
2014-10-01,Dissociatives,family,4,3.0,8,3.7758957654723124,14,2.808499445456089,0.8523,2.1187025534851625,1.1732957878681216
2014-10-01,Quetiapine,substance,1,2.0,6,2.4052117263843646,13,2.5835647897968,0.8799,2.4945828819068256,1.1364927832708263
2014-10-01,Sertraline,substance,1,6.0,4,2.10814332247557,4,2.5619469718512233,0.9068,1.8974042027194067,1.102779003087781
2014-10-01,Depressants and Tranquilizers,category,21,3.0,20,12.945928338762213,48,2.4077755909022835,0.9368,1.544887278582931,1.067463706233988
2014-10-01,root,root,211,4.0,880,832.4377850162866,2336,2.0939239399462792,0.9661,1.0571360597029877,1.0350895352447986
2014-10-01,Amphetamine,substance,1,4.0,4,1.781758957654723,5,2.0659382749797564,0.9711,2.244972577696527,1.0297600659046442
2014-10-01,Diphenhydramine,substance,1,6.0,9,5.797394136807817,11,2.0463195334220448,0.9759,1.5524216204067873,1.0246951531919255
2014-10-01,Temazepam,substance,1,6.0,3,1.5811074918566774,3,1.9214602288884175,0.9912,1.8974042027194067,1.0088781275221954
2014-10-01,Antihistamines,family,9,4.0,10,6.057980456026058,17,1.8851844362791477,0.9916,1.6507151306592107,1.008471157724889
2014-10-01,Muscle relaxants,family,7,3.0,7,3.7758957654723124,14,1.669041934176613,0.9949,1.8538647342995171,1.005126143330988
2014-10-01,Tramadol,substance,1,6.0,10,6.851465798045602,13,1.628420514162371,0.9953,1.4595416943995436,1.0047221943132725
2014-10-01,Fluoxetine,substance,1,3.0,4,1.8879478827361562,7,1.4042497227280446,0.9981,2.1187025534851625,1.001903616872057
2014-10-01,Hallucinogens,superclass,8,5.0,4,2.2052117263843645,5,1.3541269912784866,0.9989,1.8138847858197935,1.0011012113324658
2014-10-01,Antipsychotics,family,13,2.0,6,3.145276872964169,17,1.3371051434535324,0.9989,1.9076222038111021,1.0011012113324658
2014-10-01,Trazodone,substance,1,4.0,3,1.4254071661237784,4,1.2867729565961454,0.999,2.1046617915904937,1.001001001001001
2014-10-01,Pentobarbital,substance,1,6.0,7,4.743322475570032,9,1.213522699613753,0.9994,1.4757588243373163,1.0006003602161297
2014-10-01,Analgesics,category,4,3.0,3,1.348534201954397,5,1.1948191974399436,0.9995,2.224637681159421,1.0005002501250624
2014-10-01,Acetaminophen,substance,1,3.0,3,1.348534201954397,5,1.1948191974399436,0.9995,2.224637681159421,1.0005002501250624
2014-10-01,Fentanyl and Fentanyl-related,category,9,6.0,18,14.229967426710097,27,1.081499636139073,0.9996,1.2649361351462711,1.0004001600640255
2014-10-01,Fentanyl,substance,1,6.0,18,14.229967426710097,27,1.081499636139073,0.9996,1.2649361351462711,1.0004001600640255
2014-10-01,Barbiturates,family,4,6.0,8,5.797394136807817,11,0.9246220779528922,0.9999,1.3799303292504776,1.000100010001
2014-10-01,Medicines and other,superclass,123,5.0,259,243.89641693811072,553,0.8334497939389589,1.0,1.061926219546398,1.0
2014-10-01,MDMA,substance,1,5.0,3,1.7641693811074917,4,0.7881841433851698,1.0,1.7005169867060563,1.0
2014-10-01,Amitriptyline,substance,1,5.0,3,1.7641693811074917,4,0.7881841433851698,1.0,1.7005169867060563,1.0
2014-10-01,Cocaine,substance,1,2.0,49,41.628664495114,225,0.7673852308573794,1.0,1.1770735524256652,1.0
2014-10-01,Carisoprodol,substance,1,4.0,5,3.207166123778501,9,0.7389419477143906,1.0,1.559008734511477,1.0
2014-10-01,Hydromorphone,substance,1,5.0,5,3.5283387622149833,8,0.5456107118812623,1.0,1.4170974889217136,1.0
2014-10-01,Hydrocodone,substance,1,1.0,7,4.912052117263844,52,0.4385716653676228,1.0,1.4250663129973473,1.0
2014-10-01,Citalopram,substance,1,2.0,4,2.5902280130293156,14,0.4193429427906301,1.0,1.5442655935613685,1.0
2014-10-01,Codeine,substance,1,4.0,3,2.1381107491856675,6,0.25843637625856664,1.0,1.4031078610603294,1.0
2014-10-01,Oxycodone,substance,1,4.0,21,18.53029315960912,52,0.25116700505915324,1.0,1.133279426241035,1.0
2014-10-01,Diazepam,substance,1,6.0,3,2.6351791530944624,5,0.053873184235138316,1.0,1.138442521631644,1.0
2014-10-01,Bupropion,substance,1,6.0,3,2.6351791530944624,5,0.053873184235138316,1.0,1.138442521631644,1.0
2014-10-01,Methadone,substance,1,1.0,8,7.745928338762215,82,0.004557204029720263,1.0,1.0328006728343146,1.0
