substance,n,case_frac,out_of_scope,mean_nnd_m,null_nnd_m,localization,z,p_clustered,pct_at_facility,top_zip,top_zip_pct
PCP,367,0.04841049993404564,False,939.3231344848241,1304.679789368992,1.3889573688446941,-4.253026903881031,0.001,14.441416893732969,90013,6.267029972752043
Methamphetamine,4631,0.6108692784593062,True,300.4987026590881,316.5355511407319,1.053367446646974,-2.5063639995558518,0.004,16.32476786871086,90057,3.8652558842582594
Ketamine,58,0.00765070571164754,False,2645.7010080546597,3702.659981896567,1.399500537144623,-2.1346662134397096,0.013,13.793103448275861,91754,5.172413793103448
Cocaine,1454,0.19179527766785384,False,562.7064002732914,611.802913576491,1.087250675093361,-1.9754919533930833,0.015,18.363136176066025,90013,6.533700137551582
MDMA,51,0.006727344677483181,False,3163.952861964047,4005.0247068361823,1.2658294486568407,-1.5247574576092993,0.058,5.88235294117647,90020,3.9215686274509802
Fentanyl,4427,0.5839598997493735,True,314.2778772091992,325.17271021846653,1.0346662421994635,-1.529573282454191,0.065,13.824260221368872,90057,4.675852721933589
Amphetamine,79,0.010420788814140615,False,2589.4051271696094,3052.1299411669115,1.1786992731041244,-1.3244996996766516,0.077,44.303797468354425,90017,7.594936708860759
Buprenorphine,9,0.001187178472497032,False,6221.590866801581,11409.96411928906,1.8339303183969629,-1.358076177680236,0.088,11.11111111111111,91601,22.22222222222222
Hydromorphone,18,0.002374356944994064,False,5653.978722305821,7747.40612320255,1.3702573893031882,-1.1483836192677597,0.131,22.22222222222222,93551,16.666666666666668
Lidocaine,39,0.0051444400474871385,False,3881.234981052699,4739.08078354946,1.221023928384797,-1.1438755388509392,0.137,7.6923076923076925,90057,7.6923076923076925
Codeine,50,0.0065954359583168445,False,3487.9577482489076,4063.2021801210044,1.1649229931643788,-1.0033934486418121,0.164,14.000000000000002,90011,6.0
para-Fluorofentanyl,179,0.023611660730774305,False,1797.0434465379215,1925.054139807472,1.0712340558689153,-0.7476847999461707,0.212,11.1731843575419,90057,4.4692737430167595
Chlordiazepoxide,11,0.0014509959108297058,False,7749.648380739647,10242.930284724125,1.321728390952689,-0.8107890318507047,0.246,0.0,91502,18.181818181818183
