zipcode,year,population
90023,2014,45886.0
90023,2015,46288.0
90023,2016,46611.0
90023,2017,47229.0
90023,2018,46780.0
90023,2019,46680.0
90023,2020,46517.0
90023,2021,45732.0
90023,2022,44558.0
90023,2023,44608.0
90023,2024,43857.0
90024,2013,50964.0
90024,2014,50117.0
90024,2015,50693.0
90024,2016,49737.0
90024,2017,49718.0
90024,2018,50288.0
90024,2019,51627.0
90024,2020,52069.0
90024,2021,50611.0
90024,2022,50392.0
90024,2023,50830.0
90024,2024,51675.0
90025,2013,43555.0
90025,2014,45284.0
90025,2015,46107.0
90025,2016,46520.0
90025,2017,47453.0
90025,2018,47967.0
90025,2019,46883.0
90025,2020,47438.0
90025,2021,44608.0
90025,2022,44429.0
90025,2023,45238.0
90025,2024,46508.0
90026,2013,68726.0
90026,2014,67986.0
90026,2015,68520.0
90026,2016,67557.0
90026,2017,68609.0
90026,2018,69589.0
90026,2019,68906.0
90026,2020,67657.0
90026,2021,65921.0
90026,2022,64769.0
90026,2023,62902.0
90026,2024,62692.0
90027,2013,45942.0
90027,2014,46025.0
90027,2015,46646.0
90027,2016,46043.0
90027,2017,45616.0
90027,2018,44686.0
90027,2019,44770.0
90027,2020,45996.0
90027,2021,44678.0
90027,2022,45764.0
90027,2023,46049.0
90027,2024,46558.0
90028,2013,28151.0
90028,2014,29994.0
90028,2015,30380.0
90028,2016,31122.0
90028,2017,31054.0
90028,2018,30734.0
90028,2019,29774.0
90028,2020,31385.0
90028,2021,29887.0
90028,2022,30982.0
90028,2023,31441.0
90028,2024,32883.0
90029,2013,40208.0
90029,2014,40161.0
90029,2015,40472.0
90029,2016,40242.0
90029,2017,38843.0
90029,2018,37898.0
90029,2019,36668.0
90029,2020,36126.0
90029,2021,35037.0
90029,2022,34649.0
90029,2023,33830.0
90029,2024,33303.0
90031,2013,40052.0
90031,2014,39333.0
90031,2015,39422.0
90031,2016,38940.0
90031,2017,39103.0
90031,2018,38535.0
90031,2019,39916.0
90031,2020,39497.0
90031,2021,38533.0
90031,2022,37457.0
90031,2023,36881.0
90031,2024,36127.0
90032,2013,47784.0
90032,2014,47309.0
90032,2015,47099.0
90032,2016,47285.0
90032,2017,47766.0
90032,2018,47627.0
90032,2019,48031.0
90032,2020,47857.0
90032,2021,45298.0
90032,2022,44881.0
90032,2023,43724.0
90032,2024,43117.0
90033,2013,49049.0
90033,2014,48567.0
90033,2015,48277.0
90033,2016,49156.0
90033,2017,48841.0
90033,2018,47583.0
90033,2019,49155.0
90033,2020,49695.0
90033,2021,47495.0
90033,2022,47655.0
90033,2023,46540.0
90033,2024,45647.0
90034,2013,58703.0
90034,2014,58968.0
90034,2015,58069.0
90034,2016,57443.0
90034,2017,56070.0
90034,2018,55652.0
90034,2019,53861.0
90034,2020,56416.0
90034,2021,53321.0
90034,2022,55061.0
90034,2023,55120.0
90034,2024,57075.0
90035,2013,30999.0
90035,2014,31399.0
90035,2015,30852.0
90035,2016,30582.0
90035,2017,29920.0
90035,2018,28085.0
90035,2019,27272.0
90035,2020,27725.0
90035,2021,26411.0
90035,2022,26595.0
90035,2023,27851.0
90035,2024,29000.0
90036,2013,36101.0
90036,2014,36425.0
90036,2015,37640.0
90036,2016,37931.0
90036,2017,38116.0
90036,2018,37988.0
90036,2019,37965.0
90036,2020,38111.0
90036,2021,37596.0
90036,2022,37713.0
90036,2023,38784.0
90036,2024,39278.0
90037,2013,61845.0
90037,2014,61536.0
90037,2015,62872.0
90037,2016,61451.0
90037,2017,63238.0
90037,2018,65016.0
90037,2019,67640.0
90037,2020,67377.0
90037,2021,68885.0
90037,2022,69064.0
90037,2023,67895.0
90037,2024,65482.0
90038,2013,29836.0
90038,2014,28798.0
90038,2015,28577.0
90038,2016,28155.0
90038,2017,27957.0
90038,2018,27660.0
90038,2019,28580.0
90038,2020,28592.0
90038,2021,27995.0
90038,2022,27979.0
90038,2023,27807.0
90038,2024,27127.0
90039,2013,27049.0
90039,2014,27843.0
90039,2015,28149.0
90039,2016,28436.0
90039,2017,29092.0
90039,2018,29589.0
90039,2019,29510.0
90039,2020,29966.0
90039,2021,28839.0
90039,2022,28244.0
90039,2023,28572.0
90039,2024,28884.0
90040,2013,12696.0
90040,2014,12830.0
90040,2015,12699.0
90040,2016,12812.0
90040,2017,12925.0
90040,2018,12645.0
90040,2019,12328.0
90040,2020,12363.0
90040,2021,11844.0
90040,2022,11839.0
90040,2023,11683.0
90040,2024,11430.0
90041,2013,28203.0
90041,2014,28439.0
90041,2015,28796.0
90041,2016,28405.0
90041,2017,28651.0
90041,2018,29516.0
90041,2019,29090.0
90041,2020,29888.0
90041,2021,28956.0
90041,2022,28321.0
90041,2023,27351.0
90041,2024,27920.0
90042,2013,60623.0
90042,2014,61034.0
90042,2015,62650.0
90042,2016,63109.0
90042,2017,63788.0
90042,2018,63911.0
90042,2019,63193.0
90042,2020,60509.0
90042,2021,59658.0
90042,2022,59151.0
90042,2023,58344.0
90042,2024,56835.0
90043,2013,43527.0
90043,2014,43118.0
90043,2015,43129.0
90043,2016,44328.0
90043,2017,44571.0
90043,2018,44627.0
90043,2019,45873.0
90043,2020,46358.0
90043,2021,44272.0
90043,2022,44461.0
90043,2023,43548.0
90043,2024,42377.0
90044,2013,87590.0
90044,2014,88412.0
90044,2015,88975.0
90044,2016,90155.0
90044,2017,94680.0
90044,2018,96436.0
90044,2019,99443.0
90044,2020,99980.0
90044,2021,100225.0
90044,2022,98990.0
90044,2023,95859.0
90044,2024,94830.0
90045,2013,40272.0
90045,2014,41453.0
90045,2015,41922.0
90045,2016,41145.0
90045,2017,41420.0
90045,2018,41149.0
90045,2019,40567.0
90045,2020,39795.0
90045,2021,41411.0
90045,2022,41123.0
90045,2023,42352.0
90045,2024,41786.0
90046,2013,50499.0
90046,2014,51329.0
90046,2015,51651.0
90046,2016,50923.0
90046,2017,51615.0
90046,2018,50587.0
90046,2019,50900.0
90046,2020,49828.0
90046,2021,48749.0
90046,2022,48170.0
90046,2023,48905.0
90046,2024,48296.0
90047,2013,47533.0
90047,2014,46999.0
90047,2015,48678.0
90047,2016,48306.0
90047,2017,48491.0
90047,2018,48883.0
90047,2019,51411.0
90047,2020,51057.0
90047,2021,51494.0
90047,2022,52200.0
90047,2023,50925.0
90047,2024,50974.0
90048,2013,21316.0
90048,2014,22409.0
90048,2015,22498.0
90048,2016,22722.0
90048,2017,22860.0
90048,2018,22892.0
90048,2019,21489.0
90048,2020,21766.0
90048,2021,20504.0
90048,2022,20411.0
90048,2023,20796.0
90048,2024,21476.0
90049,2013,35310.0
90049,2014,35262.0
90049,2015,35427.0
90049,2016,35581.0
90049,2017,36362.0
90049,2018,36964.0
90049,2019,36418.0
90049,2020,36610.0
90049,2021,35853.0
90049,2022,35819.0
90049,2023,36735.0
90049,2024,37122.0
90056,2013,8536.0
90056,2014,8380.0
90056,2015,8537.0
90056,2016,8118.0
90056,2017,8014.0
90056,2018,7795.0
90056,2019,7649.0
90056,2020,8058.0
90056,2021,7956.0
90056,2022,8225.0
90056,2023,8908.0
90056,2024,8543.0
90057,2013,45392.0
90057,2014,45747.0
90057,2015,46509.0
90057,2016,48302.0
90057,2017,49389.0
90057,2018,49492.0
90057,2019,50152.0
90057,2020,49771.0
90057,2021,47604.0
90057,2022,47142.0
90057,2023,45548.0
90057,2024,46629.0
90058,2013,2980.0
90058,2014,2748.0
90058,2015,2680.0
90058,2016,2674.0
90058,2017,3189.0
90058,2018,2758.0
90058,2019,2718.0
90058,2020,3003.0
90058,2021,3659.0
90058,2022,3049.0
90058,2023,3409.0
90058,2024,3585.0
90059,2013,41831.0
90059,2014,42470.0
90059,2015,44648.0
90059,2016,46027.0
90059,2017,47351.0
90059,2018,45952.0
90059,2019,46185.0
90059,2020,42311.0
90059,2021,41315.0
90059,2022,39471.0
90059,2023,38015.0
90059,2024,37511.0
90061,2013,27457.0
90061,2014,28641.0
90061,2015,28135.0
90061,2016,27203.0
90061,2017,28003.0
90061,2018,27646.0
90061,2019,27873.0
90061,2020,28755.0
90061,2021,29992.0
90061,2022,28646.0
90061,2023,28478.0
90061,2024,30051.0
90062,2013,32450.0
90062,2014,32675.0
90062,2015,33353.0
90062,2016,33690.0
90062,2017,33627.0
90062,2018,34422.0
90062,2019,35916.0
90062,2020,35908.0
90062,2021,34277.0
90062,2022,33528.0
90062,2023,32110.0
90062,2024,32715.0
90063,2013,54160.0
90063,2014,54353.0
90063,2015,53813.0
90063,2016,54142.0
90063,2017,53556.0
90063,2018,52951.0
90063,2019,53980.0
90063,2020,53846.0
90063,2021,52954.0
90063,2022,52008.0
90063,2023,50536.0
90063,2024,48397.0
90064,2013,26103.0
90064,2014,25788.0
90064,2015,26384.0
90064,2016,27032.0
90064,2017,26007.0
90064,2018,25429.0
90064,2019,25925.0
90064,2020,25988.0
90064,2021,25161.0
90064,2022,25956.0
90064,2023,26494.0
90064,2024,26642.0
90065,2013,45242.0
90065,2014,46254.0
90065,2015,46904.0
90065,2016,46965.0
90065,2017,48420.0
90065,2018,47887.0
90065,2019,46461.0
90065,2020,47389.0
90065,2021,46432.0
90065,2022,44897.0
90065,2023,45075.0
90065,2024,44658.0
90066,2013,59031.0
90066,2014,58337.0
90066,2015,59124.0
90066,2016,59258.0
90066,2017,59747.0
90066,2018,59394.0
90066,2019,59167.0
90066,2020,58851.0
90066,2021,54913.0
90066,2022,54142.0
90066,2023,54975.0
90066,2024,56740.0
90067,2013,2312.0
90067,2014,2364.0
90067,2015,2330.0
90067,2016,2355.0
90067,2017,2235.0
90067,2018,2314.0
90067,2019,2428.0
90067,2020,2560.0
90067,2021,2483.0
90067,2022,2653.0
90067,2023,3165.0
90067,2024,3875.0
90068,2013,22043.0
90068,2014,21943.0
90068,2015,21233.0
90068,2016,21450.0
90068,2017,21726.0
90068,2018,20982.0
90068,2019,21092.0
90068,2020,21590.0
90068,2021,21127.0
90068,2022,21064.0
90068,2023,21569.0
90068,2024,21572.0
90069,2013,20731.0
90069,2014,20426.0
90069,2015,20132.0
90069,2016,20435.0
90069,2017,20401.0
90069,2018,20435.0
90069,2019,20230.0
90069,2020,20035.0
90069,2021,20185.0
90069,2022,20045.0
90069,2023,20318.0
90069,2024,20961.0
90071,2013,0.0
90071,2014,0.0
90071,2015,0.0
90071,2016,0.0
90071,2017,0.0
90071,2018,0.0
90071,2019,126.0
90071,2020,152.0
90071,2021,28.0
90071,2022,313.0
90071,2023,304.0
90071,2024,556.0
90073,2013,773.0
90073,2014,801.0
90073,2015,862.0
90073,2016,915.0
90073,2017,944.0
90073,2018,916.0
90073,2019,953.0
90073,2020,962.0
90073,2021,881.0
90073,2022,1014.0
90073,2023,1053.0
90073,2024,1079.0
90077,2013,8506.0
90077,2014,8328.0
90077,2015,8844.0
90077,2016,8912.0
90077,2017,8936.0
90077,2018,8993.0
90077,2019,8382.0
90077,2020,8328.0
90077,2021,7729.0
90077,2022,7868.0
90077,2023,8158.0
90077,2024,8386.0
90089,2013,3276.0
90089,2014,3326.0
90089,2015,3334.0
90089,2016,3680.0
90089,2017,3846.0
90089,2018,3862.0
90089,2019,3786.0
90089,2020,3740.0
90089,2021,3498.0
90089,2022,4164.0
90089,2023,4777.0
90089,2024,5462.0
90090,2013,0.0
90090,2014,0.0
90090,2015,0.0
90090,2016,0.0
90090,2017,0.0
90090,2018,0.0
90090,2019,0.0
90090,2020,0.0
90094,2013,5852.0
90094,2014,6062.0
90094,2015,6858.0
90094,2016,8072.0
90094,2017,8568.0
90094,2018,9368.0
90094,2019,9827.0
90094,2020,9065.0
90094,2021,11426.0
90094,2022,11891.0
90094,2023,12127.0
90094,2024,11764.0
90095,2013,0.0
90095,2014,0.0
90095,2015,0.0
90095,2016,0.0
90095,2017,0.0
90095,2018,0.0
90095,2019,0.0
90095,2020,0.0
90095,2021,0.0
90095,2022,0.0
90095,2023,0.0
90095,2024,0.0
90201,2013,101932.0
90201,2014,102515.0
90201,2015,102946.0
90201,2016,102786.0
90201,2017,102878.0
90201,2018,102433.0
90201,2019,101965.0
90201,2020,100512.0
90201,2021,96605.0
90201,2022,95134.0
90201,2023,93783.0
90201,2024,92763.0
90210,2013,21548.0
90210,2014,21478.0
90210,2015,22052.0
90210,2016,20957.0
90210,2017,20016.0
90210,2018,19909.0
90210,2019,19314.0
90210,2020,19229.0
90210,2021,19627.0
90210,2022,19180.0
90210,2023,19652.0
90210,2024,19004.0
90211,2013,7748.0
90211,2014,8080.0
90211,2015,7530.0
90211,2016,8129.0
90211,2017,8019.0
90211,2018,7969.0
90211,2019,8019.0
90211,2020,9211.0
90211,2021,9202.0
90211,2022,9208.0
90211,2023,8871.0
90211,2024,9120.0
90212,2013,12510.0
90212,2014,12415.0
90212,2015,12577.0
90212,2016,12915.0
90212,2017,13207.0
90212,2018,13156.0
90212,2019,13314.0
90212,2020,11878.0
90212,2021,10999.0
90212,2022,10881.0
90212,2023,10834.0
90212,2024,10728.0
90220,2013,49810.0
90220,2014,50222.0
90220,2015,50715.0
90220,2016,51271.0
90220,2017,51713.0
90220,2018,53703.0
90220,2019,52817.0
90220,2020,51042.0
90220,2021,51480.0
90220,2022,49101.0
90220,2023,49156.0
90220,2024,48354.0
90221,2013,52446.0
90221,2014,53657.0
90221,2015,54236.0
90221,2016,53922.0
90221,2017,54259.0
90221,2018,52322.0
90221,2019,51688.0
90221,2020,50928.0
90221,2021,50660.0
90221,2022,52119.0
90221,2023,50782.0
90221,2024,50659.0
90222,2013,31893.0
90222,2014,32362.0
90222,2015,31875.0
90222,2016,32195.0
90222,2017,32585.0
90222,2018,32850.0
90222,2019,33200.0
90222,2020,34547.0
90222,2021,33729.0
90222,2022,33021.0
90222,2023,32173.0
90222,2024,32340.0
90230,2013,32335.0
90230,2014,33090.0
90230,2015,31978.0
90230,2016,32692.0
90230,2017,32657.0
90230,2018,32808.0
90230,2019,32687.0
90230,2020,33135.0
90230,2021,33620.0
90230,2022,32005.0
90230,2023,31570.0
90230,2024,31009.0
90232,2013,15454.0
90232,2014,15353.0
90232,2015,15708.0
90232,2016,14810.0
90232,2017,14865.0
90232,2018,14660.0
90232,2019,14780.0
90232,2020,14921.0
90232,2021,15342.0
90232,2022,16352.0
90232,2023,16804.0
90232,2024,16554.0
90240,2013,25411.0
90240,2014,26287.0
90240,2015,26655.0
90240,2016,26426.0
90240,2017,26339.0
90240,2018,26205.0
90240,2019,26413.0
90240,2020,26801.0
90240,2021,26590.0
90240,2022,26026.0
90240,2023,25326.0
90240,2024,24853.0
90241,2013,43776.0
90241,2014,43596.0
90241,2015,43592.0
90241,2016,44815.0
90241,2017,44097.0
90241,2018,44143.0
90241,2019,43215.0
90241,2020,42759.0
90241,2021,44701.0
90241,2022,45341.0
90241,2023,45484.0
90241,2024,45319.0
90242,2013,43147.0
